"id","publisher","extension","install","averagerating","ratingcount","trendingdaily","trendingmonthly","trendingweekly","updateCount","weightedRating","downloadCount"
"yuichinukiyama.vscode-preview-server","YuichiNukiyama","Preview on Web Server",305036,4.76744174957275,43,0.00262321744177277,2.77175712941315,0.587600706957101,129121,4.6987177834853,1120
"vsciot-vscode.azure-iot-toolkit","Microsoft","Azure IoT Hub",302226,4.625,8,0.000992746333456875,1.36138613861386,0.296831153703606,946327,4.50178040517182,267
"Fudge.auto-using","Fudge","Auto-Using for C#",301754,3.95238089561462,21,0.00331475963020542,3.52491539076044,0.774327849615985,49148,4.09780793874193,1275
"MarlinFirmware.auto-build","Marlin Firmware","Auto Build Marlin",300474,4.16666650772095,6,0.00299600532623169,4.4124500665779,0.916111850865513,465444,4.31450289621365,1689
"dan-c-underwood.arm","dan-c-underwood","Arm Assembly",300220,5,6,0.00399804095992963,3.22242101370329,0.697655823127257,577394,4.6270029558183,1830
"ms-iot.vscode-ros","Microsoft","ROS",300148,3.875,8,0.00400022667951184,5.45997606531037,1.16873289486404,291004,4.16844707183848,2322
"sianglim.slim","Siang Lim","Slim",299759,3.79999995231628,5,0.00300301302306648,2.56690879849449,0.577245836656112,10970,4.20213647031161,156
"cipchk.cssrem","cipchk","px to rem & rpx & vw (cssrem)",299280,5,9,0.00468028629979908,4.55291565121169,0.950432425023485,920495,4.68589722595225,1498
"austenc.laravel-blade-spacer","Austen Cameron","Laravel Blade Spacer",297541,4.66666650772095,12,0.00268978085010524,3.82184236539328,0.854677865120939,129784,4.54691115389746,686
"mads-hartmann.bash-ide-vscode","Mads Hartmann","Bash IDE",296625,4.63636350631714,11,0.00640697078421322,3.47325258302085,0.750627208718876,316552,4.52533551726577,1739
"searKing.preview-vscode","Haixin Chen","Preview",295550,3.09375,32,0.00304586050635739,2.48576060213278,0.546224317473425,228420,3.40552493554983,763
"seanwu.vscode-qt-for-python","Shuang Wu","Qt for Python",295418,5,3,0.00338600833635252,3.39853656719703,0.719188170641276,435025,4.54092671485329,1851
"ban.spellright","Bartosz Antosik","Spell Right",294352,4.0789475440979,76,0.00339772012979291,2.15653296637956,0.460389513312222,913248,4.11665186795969,1955
"Prisma.prisma","Prisma","Prisma",293741,5,13,0.0153282284655421,9.52053301359784,2.16502711393302,2676306,4.74052379535186,899
"AESSoft.aessoft-class-autocomplete","AES Soft","Class autocomplete for HTML",293707,5,6,0.00170274789455223,1.9854040450479,0.443736101320311,9140,4.6270029558183,771
"cjhowe7.laravel-blade","Christian Howe","laravel-blade",293282,4.19999980926514,5,0.00136423321566822,2.78883375112976,0.584232874609915,6124,4.33546975596123,338
"naumovs.theme-oceanicnext","Sergii N","Theme - Oceanic Next",292864,3.88888883590698,9,0.00204901237603475,2.50116110701309,0.539914761085157,8638,4.15958141138187,656
"MS-CEINTL.vscode-language-pack-tr","Microsoft","Turkish Language Pack for Visual Studio Code",292408,4.5,8,0.00273634308269571,6.98006916107142,1.49130698006916,646623,4.44622484961626,328
"jbenden.c-cpp-flylint","Joseph Benden","C/C++ Advanced Lint",291669,2.57142853736877,14,0.00308652560101512,2.76278336019754,0.58575396961487,438496,3.33466861734398,1833
"bibhasdn.django-snippets","bibhasdn","Django Snippets",291559,4,4,0.00205814958631193,1.40228591814053,0.320042260671506,76038,4.28800337807805,333
"marus25.cortex-debug","marus25","Cortex-Debug",291152,4.97142839431763,35,0.00274848918984846,4.044401842862,0.839319886349972,828935,4.84515646876021,1714
"chris-noring.node-snippets","Chris Noring","node-snippets",291007,5,2,0.00825039962873202,4.90073737946682,1.07014558517678,212860,4.50267060775773,1345
"cmstead.jsrefactor","Chris Stead","JS Refactor :: JS CodeFormer",289825,3.5,14,0.000690147795150331,1.873061116038,0.412363307602323,567029,3.87633530387886,688
"shakram02.bash-beautify","Ahmed Hamdy","Bash Beautify",285173,3,12,0.00350757812253373,3.60193197402989,0.779033101014742,9220,3.63782033150421,748
"JakeBecker.elixir-ls","ElixirLS","ElixirLS: Elixir support and debugger",284594,4.48387098312378,31,0.00386580728599242,3.00338082419011,0.60728318092681,50006375,4.46419628707146,772
"mindaro.mindaro","Microsoft","Bridge to Kubernetes",284418,5,4,0.00351643405455396,2.29693472443465,0.489839263799366,1022351,4.57371766379234,999
"silvenon.mdx","Matija Marohnić","MDX",284218,5,3,0.00703883324300164,4.69595759806854,1.03400460339694,1430,4.54092671485329,309
"mblode.twig-language-2","mblode","Twig Language 2",284070,3.75,16,0.00176040221669847,2.85185159105152,0.616844936731144,431213,4.00123258819587,644
"DiemasMichiels.emulate","Diemas Michiels","Android iOS Emulator",282225,4.32258081436157,31,0.00283531096272984,3.56575794950311,0.774748720565928,150321,4.34224518386101,1598
"GregorBiswanger.json2ts","Gregor Biswanger","json2ts",280056,4.47272729873657,55,0.000714214292856429,1.21773536932021,0.279614895653292,29076,4.46203151882468,315
"softwaredotcom.swdc-vscode","Software","Code Time",279105,3.70833325386047,48,0.00537622846820498,3.68307491595163,0.866648029074644,3401365,3.82813868066199,1390
"apollographql.vscode-apollo","Apollo GraphQL","Apollo GraphQL",278884,2.65217399597168,46,0.00251042723885281,2.97915986759289,0.615413305981631,1834536,2.96485805549625,1093
"xyz.plsql-language","xyz","Language PL/SQL",278769,3.90000009536743,10,0.00107629110086641,1.74072147380128,0.390693669614508,330293,4.15160241233835,1062
"glen-84.sass-lint","glen-84","Sass Lint (deprecated)",278657,4.83333349227905,6,0.0021533624755055,0.872829590071563,0.202056453783624,254523,4.56450301542294,253
"kreativ-software.csharpextensions","JosKreativ","C# Extensions",273187,4.33333349227905,9,0.00439360876378495,4.03478260869565,0.859313501144165,505642,4.37010782755812,929
"shenjiaolong.vue-helper","shenjiaolong","vue-helper",273051,5,3,0.00403082481668908,4.36428396061518,0.969230149103874,248625,4.54092671485329,2685
"keyring.Lua","keyring","Lua",272579,4,8,0.0029353812509861,2.19603209839398,0.463790237655805,17813,4.22400262739404,701
"lukasz-wronski.ftp-sync","Łukasz Wroński","ftp-sync",272566,3.29166674613953,96,0.000366914578616952,1.11578723357415,0.235559159472083,132686,3.39652882002346,792
"jeroen-meijer.pubspec-assist","Jeroen Meijer","Pubspec Assist",272538,4.92307710647583,13,0.00477116746797813,3.70022387785811,0.783939516277021,280812,4.69704563814254,894
"RandomFractalsInc.vscode-data-preview","Random Fractals Inc.","Data Preview",272509,4.22499990463257,40,0.00293648026134674,3.62398370253455,0.745129131245504,261517,4.26064086956791,1556
"shengchen.vscode-checkstyle","ShengChen","Checkstyle for Java",269488,3,6,0.00334032326906304,2.29220405663704,0.543730398797484,325713,3.8770029558183,2011
"ms-vscode.anycode","Microsoft","anycode",268690,5,1,0.0011165615858152,0.539671433144014,0.0960242963801073,3700,4.45745884482661,122
"actboy168.lua-debug","actboy168","Lua Debug",268589,4.55555534362793,9,0.00335161827302282,2.64405441538467,0.554134221139774,2800041,4.475370809776,1664
"wordpresstoolbox.wordpress-toolbox","wpprotools.io","WordPress Snippets",268398,5,5,0.00409897153077955,2.65948725592488,0.588761365330154,426253,4.60213648620618,666
"deerawan.vscode-faker","Budi Irawan","vscode-faker",267104,4.92307710647583,13,0.00262111419820117,1.88645333293393,0.399907137668407,178890,4.69704563814254,622
"sburg.vscode-javascript-booster","Stephan Burguchev","JavaScript Booster",266921,5,13,0.00299801756088786,3.49044194526369,0.794099901440173,118277,4.74052379535186,975
"torn4dom4n.latex-support","Long Nhat Nguyen","LaTeX language support",266554,3.66666674613953,3,0.00150089866307452,2.02508752115329,0.461526338895414,542305,4.23323442550087,699
"bierner.markdown-emoji","Matt Bierner","Markdown Emoji",265506,4.09999990463257,10,0.00602809090361083,5.03006510338176,1.2112695159443,134307,4.25160231697092,560
"1tontech.angular-material","1Ton Technologies","Angular Material 2, Flex layout 1, Covalent 1 & Material icon snippets",264992,5,1,0.00415172674089451,2.30647291941876,0.534063030760521,35702,4.45745884482661,168
"ms-vscode.node-debug2","Microsoft","[Deprecated] Node Debug",263262,4.66666650772095,3,0.00151956054309094,1.18905612496866,0.276560018842551,1893837,4.46400360125043,335059
"ms-ossdata.vscode-postgresql","Microsoft","PostgreSQL",262009,2.33333325386047,18,0.00419945101722157,4.0211652331268,0.8673775191934,36030,3.07257306652076,1255
"SimonTest.simontest","SimonTest","SimonTest",261657,3,14,0.00305790525845033,1.99337199035231,0.459450265082162,985154,3.5846686372122,284
"Compulim.compulim-vscode-closetag","Compulim","Close HTML/XML tag",258524,3.875,8,0.00154738279542439,1.50212184865823,0.331913609618531,48777,4.16844707183848,352
"Askia.askia-qexml-generator-extension","Askia","Askia QeXML Generator",257861,5,1,0.00504335344208872,5.26021764009854,1.10953775725952,1002,4.45745884482661,709
"TaodongWu.ejs-snippets","TaodongWu","ejs Snippets",257685,5,1,0.0135860071889387,2.752136884845,0.604771405724755,1505,4.45745884482661,160
"mubaidr.vuejs-extension-pack","Muhammad Ubaid Raza","Vue.js Extension Pack",257315,4.19999980926514,10,0.000388663464079723,1.23944778695024,0.286056309562676,349210,4.3016022692872,1547
"daylerees.rainglow","Dayle Rees","Rainglow",256524,4.93827152252197,81,0.00194927974113565,1.67949942496248,0.361786319954777,19692,4.87947297381728,561
"felipe-mendes.slack-theme","Felipe Mendes","Slack Theme",256500,4.83333349227905,18,0.00272964077927345,2.38179726647039,0.525258827428883,307219,4.6797160769327,827
"imperez.smarty","imperez","Smarty",256302,3.79999995231628,20,0.000390204310977228,1.58774134136634,0.330503051397712,16898,4.00106821131395,350
"BeardedBear.beardedtheme","BeardedBear","Bearded Theme",254796,4.83636379241943,55,0.00745925870672158,5.26388109156436,1.13380732342168,637308,4.76972393655633,917
"ms-vscode.references-view","Microsoft","Reference Search View",253567,5,5,0.00197209874692846,1.99181973439774,0.172755850230933,9684371,4.60213648620618,436807
"patbenatar.advanced-new-file","patbenatar","advanced-new-file",253495,4.2857141494751,21,0.00315635393774881,2.56532666290535,0.53302927123733,78990,4.32361433651838,455
"oouo-diogo-perdigao.docthis","oouo-diogo-perdigao","Document This",252364,3.66666674613953,9,0.00158563415455969,3.87806473351436,0.855053217846312,408,4.05431831622887,1556
"sdras.vue-vscode-extensionpack","sarah.drasner","Vue VS Code Extension Pack",251593,4.66666650772095,12,0.00318014318594695,1.3428154602661,0.318809354391181,67011,4.54691115389746,1028
"MS-CEINTL.vscode-language-pack-pl","Microsoft","Polish Language Pack for Visual Studio Code",251287,5,3,0.00278618054449928,6.79748447699411,1.5921031682853,704904,4.54092671485329,194
"fabiospampinato.vscode-diff","Fabio Spampinato","Diff",250654,3.72727274894714,11,0.00319247852060545,3.19088228134515,0.713518949355319,165846,4.04914512054816,718
"ms-dotnettools.dotnet-interactive-vscode","Microsoft",".NET Interactive Notebooks",250149,3.95454549789429,22,0.0103986689703718,6.65834773149037,1.39582133486914,742059,4.09475150771147,1214
"rocketseat.theme-omni","Rocketseat","Omni Theme",249989,4.88000011444092,25,0.016808269668677,8.43575038919148,1.74325768277993,109223,4.74377286154616,439
"mosapride.zenkaku","mosapride","zenkaku",249573,4.33333349227905,3,0.00601375948169412,3.22698333787706,0.706012532624514,4107,4.38708059768691,928
"SimonSiefke.prettier-vscode","Simon Siefke","Prettier - Code formatter",249147,3.40000009536743,5,0.00642521253398335,6.04853444917858,1.32399535778394,40850,4.06880318466199,2063
"tobiasalthoff.atom-material-theme","Tobias Althoff","Atom Material Theme",248734,4.59999990463257,10,0.00442310630734959,2.43833787706981,0.544444176377396,295346,4.50160231697092,725
"schneiderpat.aspnet-helper","schneiderpat","ASP.NET Helper",248499,3.44444441795349,9,0.000804890514767729,0.999674019341519,0.214905767442984,29572,3.94905510814074,280
"eppz.eppz-code","eppz!","eppz! (C# theme for Unity)",248266,4.68076944351196,260,0.000805684912744324,1.5513462994892,0.335164923701639,54593,4.66926425105099,470
"idleberg.hopscotch","idleberg","Hopscotch",247830,5,6,0,0.427324560872565,0.093615956678409,444958,4.6270029558183,163
"infeng.vscode-react-typescript","infeng","Typescript React code snippets",247501,4.5,6,0.00323360360870163,5.03148721513973,1.08446981026831,117031,4.4395029558183,561
"necinc.elmmet","Max Vyz.","Elm Emmet",247243,5,1,0.00121357750512737,2.33411406819497,0.523051904709894,10462,4.45745884482661,777
"DSnake.java-debug","Bin Deng","Java Debug",245584,5,7,0.00122182173620869,2.16751176003421,0.460626794550675,12976,4.64894395841722,418
"mikey.vscode-fileheader","mikey","vscode-fileheader",244826,3.83333325386047,12,0.000817040190206956,1.23454772740271,0.276159584289951,6941,4.09236574270084,930
"bierner.emojisense","Matt Bierner",":emojisense:",244281,4.91304349899292,23,0.0024567308282868,3.55243277770271,0.776326941738628,193185,4.75854690211909,694
"mcright.auto-save","Yurii Zaporozhchenko","Auto-Save on Window Change",244139,4.83333349227905,6,0.00368760268949156,4.48535407131824,1.0329384866898,340,4.56450301542294,1016
"sporiley.css-auto-prefix","sporiley","css-auto-prefix",243062,4.22222232818604,9,0.00246918660877796,3.11981728019095,0.69713368587831,20193,4.31747622351405,715
"jdinhlife.gruvbox","jdinhlife","Gruvbox Theme",242275,5,32,0.0028901137466196,4.28521293945212,0.930203753019137,94959,4.85790588793078,836
"bung87.rails","周鹏","Rails",241632,3.28571438789368,7,0.00331134051342335,2.28358320156958,0.497528912141858,702566,3.94306164754991,281
"bigonesystems.django","Roberth Solís","Django",240738,4.16666650772095,6,0.00415473910315802,2.7608241340485,0.626119182845913,18594,4.31450289621365,561
"fivethree.vscode-ionic-snippets","fivethree","Ionic Snippets",240319,4,7,0.00457770656900893,1.6209242805718,0.321687925258536,614807,4.23717925253487,527
"adelphes.android-dev-ext","adelphes","Android",239667,2.5,4,0.00166937244116505,2.34046016251341,0.537955269165439,269937,3.85943194950662,2132
"mjmcloug.vscode-elixir","Mat McLoughlin","vscode-elixir",239634,4.22222232818604,18,0.00166933760683761,1.17563100961538,0.224525908119658,97505,4.28685890001576,240
"nobuhito.printcode","nobuhito","PrintCode",239391,4.55813932418823,43,0.00292494181455033,2.92535966338098,0.623848304160521,44182,4.52890638175824,906
"stkb.rewrap","stkb","Rewrap",238943,4.98648643493652,74,0.00251139545688562,2.85629376629791,0.614036189208534,1086669,4.91604880852759,686
"bierner.markdown-checkbox","Matt Bierner","Markdown Checkboxes",238176,4.875,8,0.00797997446408171,5.21260331966938,1.70645453934547,77938,4.61289151628293,727
"vsls-contrib.gitdoc","Jonathan Carter","GitDoc",234635,4.59999990463257,5,0.0213411641178203,18.7349811557521,3.99718297836015,23543,4.4688031210837,133
"fabiospampinato.vscode-todo-plus","Fabio Spampinato","Todo+",234473,4.56338024139404,71,0.00255963960274393,2.1471110201017,0.530698610968909,791021,4.54360548681568,954
"YouMayCallMeV.vscode-java-saber","JavaHub","Java IDE",233134,3,4,0.00343247464259358,3.37841316697273,0.743559819451834,80002,4.00228909236377,722
"luanpotter.dart-import","Luan","dart-import",233021,4.52631568908691,19,0.00343383009408694,2.81488221962777,0.630107822264954,147559,4.48386363399118,751
"stevencl.addDocComments","stevencl","Add jsdoc comments",232984,3.33333325386047,9,0.00343433129276816,2.32332511955766,0.529316310497892,21438,3.89642350409668,446
"McCarter.start-git-bash","McCarter","Start git-bash",232234,4.16666650772095,6,0.00301504507492387,3.9169742730511,0.875224513177901,10027,4.31450289621365,608
"financialforce.lana","FinancialForce","Apex Log Analyzer",231628,4.69999980926514,10,0.00475118887703491,6.68449082372657,1.4646619529114,167935,4.5516022692872,388
"bung87.vscode-gemfile","周鹏","vscode-gemfile",231336,5,1,0.00345880135239133,2.68446219962472,0.585834479061281,96039,4.45745884482661,62
"uloco.theme-bluloco-light","Umut Topuzoğlu","Bluloco Light Theme",230287,4.90909099578857,33,0.00260597637248089,2.78318276580959,0.61501042390549,640620,4.7914430268399,754
"AngularDoc.angulardoc-vscode","AngularDoc.io","AngularDoc for Visual Studio Code",229605,2.60606050491333,33,0,0.276569148820335,0.0683800887634528,207182,3.02400102221471,274
"bceskavich.theme-dracula-at-night","bceskavich","Dracula At Night",229363,5,12,0.00348859012990638,2.95701620886189,0.642336657669011,173958,4.72872942241331,344
"slevesque.vscode-multiclip","slevesque","Multiple clipboards for VSCode",229163,4.7142858505249,14,0.00174566529486469,2.38108746219544,0.516716927279948,13831,4.58466871668506,270
"haskell.haskell","Haskell","Haskell",228421,4.7857141494751,14,0.00437899309432789,4.65399386065168,0.899445181574949,407800,4.626335224406,1857
"albert.TabOut","Albert Romkes","TabOut",228132,4.77419376373291,62,0.00263099043634976,4.71298086831454,0.969958474200946,77180,4.72266750895185,1347
"clinyong.vscode-css-modules","clinyong","CSS Modules",227303,4.82352924346924,17,0.00308044358387608,3.82987150149622,0.830839640908291,172478,4.66785349748407,530
"hwencc.html-tag-wrapper","hwencc","html tag wrapper",227094,3.07692313194275,13,0.00484489722211211,3.19234682416987,0.694141638368062,8869,3.6535673047108,348
"in4margaret.compareit","in4margaret","compareit",226769,4.75,12,0.0026466229091679,3.16403768791023,0.659450208201002,5188,4.59236578604967,1339
"slevesque.vscode-autohotkey","slevesque","AutoHotkey",226673,4.2857141494751,21,0.00220613216496574,2.92753738290954,0.623894176252311,18431,4.32361433651838,500
"richie5um2.vscode-sort-json","richie5um2","Sort JSON objects",226543,4.60526323318481,38,0.00309079428997832,3.83214337753169,0.868954737525333,248492,4.56316771154408,618
"brapifra.c-compiler","brapifra","C Compiler",225167,4.5,2,0.000888387443531873,2.63184780146317,0.570344738747463,2918,4.41933727442439,500
"nodesource.vscode-for-node-js-development-pack","NodeSource","VS Code for Node.js - Development Pack",225023,3.5,4,0.00133333333333333,1.72933333333333,0.367111111111111,80320,4.14514623522091,1567
"emilast.LogFileHighlighter","Emil Åström","Log File Highlighter",224659,4.96666669845581,30,0.00311641594358397,2.21532653361055,0.496400539585161,732094,4.82580120616918,33708
"cstrap.flask-snippets","cstrap","flask-snippets",224298,5,3,0.00312169713294416,3.37723034111231,0.723787778109768,106893,4.54092671485329,609
"funkyremi.vscode-google-translate","funkyremi","Vscode Google Translate",223710,4.3728814125061,59,0.00357740155438098,4.53033189342921,0.98333825226047,183362,4.37727609610077,1090
"ysemeniuk.emmet-live","Yurii Semeniuk","Emmet Live",222886,5,4,0.002692599390575,3.404343162817,0.718924037283526,9777,4.57371766379234,606
"gornivv.vscode-flutter-files","Igor Kravchenko","[FF] Flutter Files",222831,5,2,0.00448867283410314,2.48358267910927,0.562430706113124,361218,4.50267060775773,1341
"scalameta.metals","Scalameta","Scala (Metals)",219195,4.64516115188599,31,0.00228164643606827,4.16081044081409,0.906269964406316,1170772,4.58614739028191,1649
"ms-vscode.Theme-MaterialKit","Microsoft","Material Theme Kit",218740,3.9375,16,0.00137171075192611,1.94828650465239,0.412884936329759,51889,4.11661720358049,302
"pthorsson.vscode-jsp","Patrik Thorsson","Java Server Pages (JSP)",217964,3.79999995231628,5,0.00642475918625836,2.56715020628066,0.633297691216895,39928,4.20213647031161,731
"jaycetyle.vscode-gnu-global","Lin Chieh","C/C++ GNU Global",217263,3,2,0.000920801834237254,2.21637001500907,0.48618336847727,146149,4.16933727442439,1982
"bukas.GBKtoUTF8","bukas","GBKtoUTF8",217244,5,8,0.00230256644055464,2.91689116689462,0.658073488710517,7819,4.66844707183848,1232
"gamunu.vscode-yarn","Gamunu Balagalla","yarn",215536,4.66666650772095,9,0.00324878750609148,3.14575453089829,0.688278838790523,181612,4.52800241382007,410
"JerryHong.autofilename","JerryHong","AutoFileName",215346,5,8,0,1.26320091396301,0.255426655396933,11283,4.66844707183848,299
"sohibe.java-generate-setters-getters","Sohibe","Java Code Generators",215020,4.34782600402832,23,0.00418655279243071,3.57345539460586,0.84893987179845,298474,4.36460743593164,1175
"olback.es6-css-minify","olback","JS & CSS Minifier (Minify)",214004,3.63636374473572,22,0.000934793480750265,2.83850040429818,0.620235474477801,209626,3.87600155241495,736
"docsmsft.docs-markdown","Microsoft","docs-markdown",212159,4,4,0.00330025223356357,2.84576035454138,0.620918884514745,3672589,4.28800337807805,1067
"IronGeek.vscode-env","Jakka Prihatna","ENV",211550,5,9,0.00851313387375968,7.60553921244053,1.6955324965238,97,4.68589722595225,355
